Time (s),Reference (rad),default PID (rad),user PID (rad)
0.0,0.1,0.0,-0.007669903939428206
0.006952762603759766,0.1,0.0,-0.007669903939428206
0.011934995651245117,0.1,0.0,-0.007669903939428206
0.01691913604736328,0.1,0.0030679615757712823,-0.007669903939428206
0.021914243698120117,0.1,0.007669903939428206,-0.007669903939428206
0.0269167423248291,0.1,0.01380582709097077,-0.007669903939428206
0.03193306922912598,0.1,0.019941750242513333,-0.007669903939428206
0.03690600395202637,0.1,0.02914563496982718,-0.007669903939428206
0.04190659523010254,0.1,0.03681553890925539,-0.007669903939428206
0.046914100646972656,0.1,0.044485442848683596,-0.007669903939428206
0.051912546157836914,0.1,0.052155346788111796,-0.007669903939428206
0.056905508041381836,0.1,0.06135923151542565,-0.007669903939428206
0.06197953224182129,0.1,0.06902913545485385,-0.007669903939428206
0.06709742546081543,0.1,0.07669903939428206,-0.007669903939428206
0.0720064640045166,0.1,0.08283496254582462,-0.007669903939428206
0.07700872421264648,0.1,0.08897088569736719,-0.007669903939428206
0.08200407028198242,0.1,0.09510680884890975,-0.007669903939428206
0.087005615234375,0.1,0.09817477042468103,-0.007669903939428206
0.09200477600097656,0.1,0.10277671278833796,-0.007669903939428206
0.09702038764953613,0.1,0.10584467436410924,-0.007669903939428206
0.10200071334838867,0.1,0.10891263593988051,-0.007669903939428206
0.10698485374450684,0.1,0.11044661672776616,-0.007669903939428206
0.11197328567504883,0.1,0.1119805975156518,-0.007669903939428206
0.11698412895202637,0.1,0.1119805975156518,-0.007669903939428206
0.12196660041809082,0.1,0.11351457830353745,-0.007669903939428206
0.12700867652893066,0.1,0.11351457830353745,-0.006135923151542565
0.13194799423217773,0.1,0.11351457830353745,-0.007669903939428206
0.13700628280639648,0.1,0.11351457830353745,-0.006135923151542565
0.14200854301452637,0.1,0.1119805975156518,-0.006135923151542565
0.146986722946167,0.1,0.1119805975156518,-0.006135923151542565
0.1520085334777832,0.1,0.1119805975156518,-0.006135923151542565
0.15697979927062988,0.1,0.11044661672776616,-0.006135923151542565
0.16199779510498047,0.1,0.11044661672776616,-0.006135923151542565
0.16698193550109863,0.1,0.10891263593988051,-0.0046019423636569235
0.17199969291687012,0.1,0.10891263593988051,-0.0046019423636569235
0.17697691917419434,0.1,0.10891263593988051,-0.0046019423636569235
0.1819760799407959,0.1,0.10737865515199488,-0.0030679615757712823
0.1869800090789795,0.1,0.10737865515199488,-0.0030679615757712823
0.1919724941253662,0.1,0.10737865515199488,-0.0030679615757712823
0.1969766616821289,0.1,0.10737865515199488,-0.0015339807878856412
0.20198988914489746,0.1,0.10584467436410924,-0.0015339807878856412
0.20698022842407227,0.1,0.10584467436410924,0.0
0.2119765281677246,0.1,0.10584467436410924,0.0015339807878856412
0.21697115898132324,0.1,0.10431069357622359,0.0015339807878856412
0.22197914123535156,0.1,0.10431069357622359,0.0030679615757712823
0.22698283195495605,0.1,0.10431069357622359,0.0046019423636569235
0.2319965362548828,0.1,0.10431069357622359,0.006135923151542565
0.2369823455810547,0.1,0.10431069357622359,0.007669903939428206
0.24197912216186523,0.1,0.10277671278833796,0.009203884727313847
0.24694514274597168,0.1,0.10431069357622359,0.010737865515199488
0.25199341773986816,0.1,0.10277671278833796,0.01227184630308513
0.25697851181030273,0.1,0.10277671278833796,0.01380582709097077
0.2619805335998535,0.1,0.10277671278833796,0.01687378866674205
0.2669837474822998,0.1,0.10277671278833796,0.018407769454627694
0.27197790145874023,0.1,0.10277671278833796,0.019941750242513333
0.2769787311553955,0.1,0.10277671278833796,0.021475731030398976
0.28197169303894043,0.1,0.10277671278833796,0.026077673394055898
0.2869880199432373,0.1,0.10277671278833796,0.02914563496982718
0.29197144508361816,0.1,0.10277671278833796,0.030679615757712823
0.29697346687316895,0.1,0.10431069357622359,0.032213596545598466
0.30199217796325684,0.1,0.10277671278833796,0.035281558121369745
