Time (s),Voltage (V),Velocity (RPM)
1.963599970622454e-05,0.9898305084745762,0.0
0.007927718999781064,0.9898305084745762,0.0
0.023795605999112013,0.9898305084745762,0.0
0.039879234000181896,0.9898305084745762,0.458
0.05576400800055126,0.9898305084745762,1.603
0.07175836199894547,0.9898305084745762,2.519
0.08783230100016226,0.9898305084745762,2.9770000000000003
0.10396500400020159,0.9898305084745762,3.206
0.11993411000003107,0.9898305084745762,3.435
0.13593550299992785,0.9898305084745762,3.435
0.15192614499937918,0.9898305084745762,3.435
0.16783731800023816,0.9898305084745762,3.664
0.18383368399918254,0.9898305084745762,3.8930000000000002
0.19982734599943797,0.9898305084745762,3.8930000000000002
0.2159247219988174,0.9898305084745762,3.8930000000000002
0.23188539799957653,0.9898305084745762,4.122
0.24790721200042753,0.9898305084745762,4.122
0.2638337529988348,0.9898305084745762,4.122
0.27984019100040314,0.9898305084745762,4.122
0.2958421389994328,0.9898305084745762,4.122
0.3119227530005446,0.9898305084745762,3.8930000000000002
0.32794664299945,0.9898305084745762,3.8930000000000002
0.3439258569997037,0.9898305084745762,3.8930000000000002
0.35993879299894616,0.9898305084745762,4.122
0.37581869499990717,0.9898305084745762,4.122
0.39182450999942375,0.9898305084745762,4.122
0.4078381740000623,0.9898305084745762,4.351
0.42381919999934325,0.9898305084745762,4.351
0.4398489529994549,0.9898305084745762,4.351
0.45584344000053534,0.9898305084745762,4.58
0.471794716999284,0.9898305084745762,4.351
0.4877947469994979,0.9898305084745762,4.122
0.5037728139996034,0.9898305084745762,4.122
0.5198960559991974,0.9898305084745762,4.122
0.5357757929996296,0.9898305084745762,4.122
0.5518712060002144,0.9898305084745762,4.122
0.5678848179995839,0.9898305084745762,4.351
0.5838730779996695,0.9898305084745762,4.122
0.5997759969995968,0.9898305084745762,4.122
0.6157782279988169,0.9898305084745762,4.122
0.6318818580002699,0.9898305084745762,4.351
0.6478940950000833,0.9898305084745762,4.351
0.6637772590001987,0.9898305084745762,4.351
0.67981585599955,0.9898305084745762,4.122
0.6958369410003797,0.9898305084745762,4.122
0.7117290599999251,0.9898305084745762,4.122
0.7277962440002739,0.9898305084745762,4.122
0.7438020329991559,0.9898305084745762,4.351
0.7598065279998991,0.9898305084745762,4.122
0.7758424919993558,0.9898305084745762,4.351
0.7917231600004015,0.9898305084745762,4.351
0.8078203940003732,0.9898305084745762,4.351
0.8237795820004976,0.9898305084745762,4.351
0.8397809819998656,0.9898305084745762,4.351
0.8557041189997108,0.9898305084745762,4.351
0.871704253999269,0.9898305084745762,4.122
0.8877055119992292,0.9898305084745762,4.122
0.9037301289990864,0.9898305084745762,4.351
0.9197124000002077,0.9898305084745762,4.351
0.9357784049989277,0.9898305084745762,4.351
0.9517050699996616,0.9898305084745762,4.58
0.9677952929996536,0.9898305084745762,4.58
0.9837133279997943,0.9898305084745762,4.58
0.9998870780000289,0.9898305084745762,4.58
1.0157893569994485,0.9898305084745762,4.351
1.0317870099988795,0.9898305084745762,4.122
1.0477828049988602,0.9898305084745762,4.122
1.0637699439994321,0.9898305084745762,4.122
1.0798841739997442,0.9898305084745762,4.122
1.0957690229988657,0.9898305084745762,4.122
1.1117739799992705,0.9898305084745762,3.8930000000000002
1.127775983999527,0.9898305084745762,3.8930000000000002
1.1438656190002803,0.9898305084745762,4.122
1.159882830999777,0.9898305084745762,4.351
1.1756700459991407,0.9898305084745762,4.58
1.1918687759989552,0.9898305084745762,4.809
1.2077704229996016,0.9898305084745762,4.58
1.2238766179998493,0.9898305084745762,4.122
1.2397663510000712,0.9898305084745762,4.122
1.2558415169987711,0.9898305084745762,4.122
1.271886036000069,0.9898305084745762,4.122
1.287769421000121,0.9898305084745762,4.122
1.30376884999896,0.9898305084745762,4.351
1.3197902680003608,0.9898305084745762,4.122
1.3358749700000772,0.9898305084745762,4.122
1.3518747839989373,0.9898305084745762,4.351
1.3677568589992006,0.9898305084745762,4.351
1.3837738879992685,0.9898305084745762,4.122
1.3997589930004324,0.9898305084745762,3.8930000000000002
1.4157574620003288,0.9898305084745762,3.664
1.4317567069992947,0.9898305084745762,3.664
1.4476865569995425,0.9898305084745762,3.664
1.4637386630001856,0.9898305084745762,3.664
1.479743234000125,0.9898305084745762,3.664
1.4957357969997247,0.9898305084745762,3.664
1.5117396469995583,0.9898305084745762,3.8930000000000002
1.5277295779997075,0.9898305084745762,3.8930000000000002
1.5437359919997107,0.9898305084745762,3.8930000000000002
1.5597358020004322,0.9898305084745762,3.8930000000000002
1.5757376040000963,0.9898305084745762,3.664
1.5918806429999677,0.9898305084745762,3.435
1.607764213000337,0.9898305084745762,3.435
1.6237617999995564,0.9898305084745762,3.435
1.6397452059991338,0.9898305084745762,3.664
1.65574319299958,0.9898305084745762,3.8930000000000002
1.6717601759992249,0.9898305084745762,3.8930000000000002
1.6877396359996055,0.9898305084745762,4.122
1.7036644229992817,0.9898305084745762,4.351
1.7197425060003297,0.9898305084745762,4.351
1.7358507139997528,0.9898305084745762,4.351
1.7518166139998357,0.9898305084745762,4.122
1.7678676359992096,0.9898305084745762,3.8930000000000002
1.7838462759991671,0.9898305084745762,3.664
1.7998523469996144,0.9898305084745762,3.435
1.8158498299999337,0.9898305084745762,3.435
1.8317474060004315,0.9898305084745762,3.435
1.847856280999622,0.9898305084745762,3.435
1.863852192000195,0.9898305084745762,3.435
1.8797436879995075,0.9898305084745762,3.664
1.895751943000505,0.9898305084745762,3.664
1.911844979000307,0.9898305084745762,3.664
1.927846418999252,0.9898305084745762,3.8930000000000002
1.9437461580000672,0.9898305084745762,3.8930000000000002
1.9598468749991298,0.9898305084745762,3.664
1.9758450360004645,0.9898305084745762,3.435
1.9918569500005106,0.9898305084745762,3.206
2.007857843000238,0.9898305084745762,2.9770000000000003
2.0237311010005214,0.9898305084745762,3.206
2.039862681998784,0.9898305084745762,3.206
2.0558597660001396,0.9898305084745762,3.206
2.0718385849995684,0.9898305084745762,3.435
2.0878488090002065,0.9898305084745762,3.435
2.103830588999699,0.9898305084745762,3.435
2.119869292999283,0.9898305084745762,3.664
2.1357142180004303,0.9898305084745762,3.664
2.1516714440003852,0.9898305084745762,3.664
2.1678050009995786,0.9898305084745762,3.206
2.183797383999263,0.9898305084745762,2.9770000000000003
2.1997684039997694,0.9898305084745762,2.9770000000000003
2.21580000799986,0.9898305084745762,2.9770000000000003
2.2318209579989343,0.9898305084745762,2.9770000000000003
2.2478033499992307,0.9898305084745762,2.9770000000000003
2.2637148649992014,0.9898305084745762,3.206
2.2797992050000175,0.9898305084745762,3.435
2.2958302489987545,0.9898305084745762,3.664
2.3117162710004777,0.9898305084745762,3.664
2.327716653999232,0.9898305084745762,3.664
2.3437847579989466,0.9898305084745762,3.664
2.35963745799927,0.9898305084745762,3.664
2.3756484370005637,0.9898305084745762,3.664
2.3916405469990423,0.9898305084745762,3.435
2.407644959999743,0.9898305084745762,3.435
2.4236301429991727,0.9898305084745762,3.206
2.439756703999592,0.9898305084745762,2.9770000000000003
2.4556322730004467,0.9898305084745762,2.748
2.4716425909991813,0.9898305084745762,2.519
2.487640985998951,0.9898305084745762,2.748
2.5035809349992633,0.9898305084745762,2.9770000000000003
2.519563912999729,0.9898305084745762,3.206
2.5355957499996293,0.9898305084745762,3.435
2.5517443039989303,0.9898305084745762,3.435
2.567627280999659,0.9898305084745762,3.664
2.583624737999344,0.9898305084745762,3.435
2.5996225340004457,0.9898305084745762,3.435
2.615626290000364,0.9898305084745762,3.435
2.631628246999753,0.9898305084745762,3.435
2.647627160000411,0.9898305084745762,3.435
2.663636040999336,0.9898305084745762,2.9770000000000003
2.67962991999957,0.9898305084745762,2.748
2.6956274940002913,0.9898305084745762,2.748
2.711627970000336,0.9898305084745762,2.9770000000000003
2.727628728998752,0.9898305084745762,2.9770000000000003
2.7436280509991775,0.9898305084745762,3.206
2.7596271299989894,0.9898305084745762,3.435
2.7756120880003436,0.9898305084745762,3.435
2.791630151999925,0.9898305084745762,3.435
2.8076290690005408,0.9898305084745762,3.664
2.823719956999412,0.9898305084745762,3.664
2.839614905000417,0.9898305084745762,3.664
2.855613218000144,0.9898305084745762,3.435
2.871606108999913,0.9898305084745762,3.206
2.887596897000549,0.9898305084745762,2.9770000000000003
2.90371440600029,0.9898305084745762,2.9770000000000003
2.919736683999872,0.9898305084745762,2.748
2.9356148229999235,0.9898305084745762,2.748
2.9516132389999257,0.9898305084745762,2.748
2.967610917999991,0.9898305084745762,3.206
2.9836129430004803,0.9898305084745762,3.435
2.999609922999298,0.9898305084745762,3.435
3.0156124370005273,0.9898305084745762,3.664
3.031611989999874,0.9898305084745762,3.664
3.0476164749998134,0.9898305084745762,3.664
3.063595174000511,0.9898305084745762,3.435
3.0796140780003043,0.9898305084745762,3.206
3.095595486000093,0.9898305084745762,3.206
3.1115964199998416,0.9898305084745762,2.9770000000000003
3.1275948860002245,0.9898305084745762,2.519
3.1436041289998684,0.9898305084745762,2.29
3.1595998279990454,0.9898305084745762,2.29
3.175599656000486,0.9898305084745762,2.29
3.191595235999557,0.9898305084745762,2.748
3.207604731000174,0.9898305084745762,2.9770000000000003
3.2235941830003867,0.9898305084745762,2.9770000000000003
3.239703549999831,0.9898305084745762,3.206
3.255606144999547,0.9898305084745762,3.206
3.271604503999697,0.9898305084745762,3.435
3.2876064390002284,0.9898305084745762,3.435
3.3035971070003143,0.9898305084745762,3.435
3.319567726999594,0.9898305084745762,3.206
3.3355011730000115,0.9898305084745762,3.206
3.351518400999339,0.9898305084745762,2.9770000000000003
3.367520562000209,0.9898305084745762,2.519
3.3834931059991504,0.9898305084745762,2.519
3.3994919329998083,0.9898305084745762,2.29
3.4154937679995783,0.9898305084745762,2.519
3.4314988089990948,0.9898305084745762,2.519
3.447493833999033,0.9898305084745762,2.519
3.4634941829990566,0.9898305084745762,2.748
3.4794942070002435,0.9898305084745762,2.9770000000000003
3.4954976569988503,0.9898305084745762,3.206
3.5115006510004605,0.9898305084745762,3.206
3.5274944720003987,0.9898305084745762,3.206
3.543496801999936,0.9898305084745762,3.206
3.5594952299998113,0.9898305084745762,3.206
3.575502833000428,0.9898305084745762,2.9770000000000003
3.591485193999688,0.9898305084745762,2.748
3.6074979469995014,0.9898305084745762,2.519
3.6234813039991423,0.9898305084745762,2.29
3.6395021789994644,0.9898305084745762,2.29
3.65548337600012,0.9898305084745762,1.832
3.6714801300004183,0.9898305084745762,1.832
3.6874826549992576,0.9898305084745762,1.832
3.703498392000256,0.9898305084745762,2.061
3.719472532000509,0.9898305084745762,2.29
3.735483557999032,0.9898305084745762,2.519
3.7514682080000057,0.9898305084745762,2.9770000000000003
3.7674850769999466,0.9898305084745762,2.9770000000000003
3.783468202000222,0.9898305084745762,3.206
3.7994834359997185,0.9898305084745762,3.435
3.8154874609990657,0.9898305084745762,3.435
3.8314854039999773,0.9898305084745762,3.435
3.8474672979991738,0.9898305084745762,3.206
3.863486403999559,0.9898305084745762,2.748
3.879485391998969,0.9898305084745762,2.519
3.8954846010001347,0.9898305084745762,2.519
3.911484279000433,0.9898305084745762,2.29
3.9274484010002197,0.9898305084745762,2.29
3.9434644960001606,0.9898305084745762,2.061
3.9594504599990614,0.9898305084745762,1.832
3.9754651240000385,0.9898305084745762,2.061
3.991468480999174,1.9932203389830507,2.29
4.0074740889995155,1.9932203389830507,2.519
4.023472254999433,1.9932203389830507,3.435
4.039472742999351,1.9932203389830507,4.58
4.05545399499897,1.9932203389830507,6.183
4.071666370000457,1.9932203389830507,7.099
4.087670728999001,1.9932203389830507,7.557
4.103564728000492,1.9932203389830507,7.7860000000000005
4.1196761800001696,1.9932203389830507,7.7860000000000005
4.13556331899963,1.9932203389830507,8.015
4.151556725999399,1.9932203389830507,8.473
4.167561349999232,1.9932203389830507,8.702
4.183558091999657,1.9932203389830507,8.702
4.199563570000464,1.9932203389830507,8.473
4.215654296998764,1.9932203389830507,8.473
4.231537404999472,1.9932203389830507,8.931000000000001
4.247536659999241,1.9932203389830507,9.389000000000001
4.263538148999942,1.9932203389830507,9.389000000000001
4.279535731999204,1.9932203389830507,8.931000000000001
4.295539751999968,1.9932203389830507,8.702
4.311539374999484,1.9932203389830507,8.931000000000001
4.327659442000368,1.9932203389830507,8.931000000000001
4.343662377999863,1.9932203389830507,9.16
4.3595413509992795,1.9932203389830507,9.16
4.375541052999324,1.9932203389830507,9.16
4.3915438700005325,1.9932203389830507,9.16
4.40754163299971,1.9932203389830507,9.16
4.423542397000347,1.9932203389830507,9.389000000000001
4.439543181999397,1.9932203389830507,9.389000000000001
4.455648512999687,1.9932203389830507,9.389000000000001
4.471542551998937,1.9932203389830507,9.618
4.487651190998804,1.9932203389830507,9.618
4.503527741999278,1.9932203389830507,9.618
4.5196138880000944,1.9932203389830507,9.618
4.535561450999012,1.9932203389830507,9.618
4.551521897999919,1.9932203389830507,9.618
4.567522942999858,1.9932203389830507,9.618
4.5835259899995435,1.9932203389830507,9.618
4.599469181999666,1.9932203389830507,9.618
4.615524630999062,1.9932203389830507,9.618
4.631525185999635,1.9932203389830507,9.618
4.647529177000251,1.9932203389830507,9.847
4.663538640999832,1.9932203389830507,9.847
4.679528700999072,1.9932203389830507,9.847
